Date,Open,High,Low,Adj Close,Volume,Open.1,High.1,Low.1,Adj Close.1,Volume.1,Original Price
2017-07-28,20048.460938,20056.160156,19926.599609,19959.839844,108500000.0,19973.669922,20176.390625,19901.880859,19959.839844,435300000.0,19959.839844
2017-07-31,19933.449219,19983.900391,19891.900391,19925.179688,140300000.0,19933.449219,20113.730469,19891.900391,19952.330078,511800000.0,19952.330078
2017-08-01,19907.080078,20000.460938,19904.720703,19985.789063,110100000.0,19933.449219,20113.730469,19891.900391,19952.330078,511800000.0,19952.330078
2017-08-02,20057.070313,20113.730469,20022.050781,20080.039063,95600000.0,19933.449219,20113.730469,19891.900391,19952.330078,511800000.0,19952.330078
2017-08-03,20066.0,20070.160156,19985.400391,20029.259766,89300000.0,19933.449219,20113.730469,19891.900391,19952.330078,511800000.0,19952.330078
2017-08-04,19949.789063,19984.509766,19933.589844,19952.330078,76500000.0,19933.449219,20113.730469,19891.900391,19952.330078,511800000.0,19952.330078
2017-08-07,20059.289063,20085.900391,20037.400391,20055.890625,75300000.0,20059.289063,20085.900391,19660.220703,19729.740234,364300000.0,19729.740234
2017-08-08,20062.650391,20076.800781,19970.570313,19996.009766,80400000.0,20059.289063,20085.900391,19660.220703,19729.740234,364300000.0,19729.740234
2017-08-09,19928.960938,19945.279297,19660.220703,19738.710938,104400000.0,20059.289063,20085.900391,19660.220703,19729.740234,364300000.0,19729.740234
2017-08-10,19792.449219,19829.880859,19685.830078,19729.740234,104200000.0,20059.289063,20085.900391,19660.220703,19729.740234,364300000.0,19729.740234
2017-08-14,19545.580078,19598.410156,19486.480469,19537.099609,108300000.0,19545.580078,19824.119141,19433.089844,19470.410156,435600000.0,19470.410156
2017-08-15,19689.380859,19824.119141,19656.910156,19753.310547,90300000.0,19545.580078,19824.119141,19433.089844,19470.410156,435600000.0,19470.410156
2017-08-16,19750.550781,19776.859375,19719.080078,19729.279297,69400000.0,19545.580078,19824.119141,19433.089844,19470.410156,435600000.0,19470.410156
2017-08-17,19707.75,19739.039063,19679.369141,19702.630859,71900000.0,19545.580078,19824.119141,19433.089844,19470.410156,435600000.0,19470.410156
2017-08-18,19471.269531,19543.130859,19433.089844,19470.410156,95700000.0,19545.580078,19824.119141,19433.089844,19470.410156,435600000.0,19470.410156
2017-08-21,19509.529297,19509.529297,19365.650391,19393.130859,75300000.0,19509.529297,19561.320313,19351.919922,19452.609375,370400000.0,19452.609375
2017-08-22,19373.109375,19437.25,19361.949219,19383.839844,70500000.0,19509.529297,19561.320313,19351.919922,19452.609375,370400000.0,19452.609375
